name,rating,store,cost,category,expected_lifespan_in_years,lifetime_earnings,lifetime_cost,net_profit,total_net_profit
ClassDojo,4.4,Google,0,Education,10.8,"$294,000.00 ","$68,800.00 ","$225,200.00 ","$455,200.00 "
ClassDojo,4.5,Apple,0,Education,10,"$300,000.00 ","$70,000.00 ","$230,000.00 ","$455,200.00 "
Design Home,4.4,Google,0,Family,10.8,"$294,000.00 ","$68,800.00 ","$225,200.00 ","$455,200.00 "
Design Home,4.5,Apple,0,Games,10,"$300,000.00 ","$70,000.00 ","$230,000.00 ","$455,200.00 "
Farm Heroes Saga,4.4,Google,0,Games,10.8,"$294,000.00 ","$68,800.00 ","$225,200.00 ","$455,200.00 "
Farm Heroes Saga,4.5,Apple,0,Games,10,"$300,000.00 ","$70,000.00 ","$230,000.00 ","$455,200.00 "
Gear.Club - True Racing,4.4,Google,0,Games,10.8,"$294,000.00 ","$68,800.00 ","$225,200.00 ","$455,200.00 "
Gear.Club - True Racing,4.5,Apple,0,Games,10,"$300,000.00 ","$70,000.00 ","$230,000.00 ","$455,200.00 "
Hill Climb Racing,4.4,Google,0,Games,10.8,"$294,000.00 ","$68,800.00 ","$225,200.00 ","$455,200.00 "
Hill Climb Racing,4.5,Apple,0,Games,10,"$300,000.00 ","$70,000.00 ","$230,000.00 ","$455,200.00 "
Injustice: Gods Among Us,4.4,Google,0,Games,10.8,"$294,000.00 ","$68,800.00 ","$225,200.00 ","$455,200.00 "
Injustice: Gods Among Us,4.5,Apple,0,Games,10,"$300,000.00 ","$70,000.00 ","$230,000.00 ","$455,200.00 "
Inside Out Thought Bubbles,4.4,Google,0,Family,10.8,"$294,000.00 ","$68,800.00 ","$225,200.00 ","$455,200.00 "
Inside Out Thought Bubbles,4.5,Apple,0,Games,10,"$300,000.00 ","$70,000.00 ","$230,000.00 ","$455,200.00 "
Jetpack Joyride,4.4,Google,0,Games,10.8,"$294,000.00 ","$68,800.00 ","$225,200.00 ","$455,200.00 "
Jetpack Joyride,4.5,Apple,0,Games,10,"$300,000.00 ","$70,000.00 ","$230,000.00 ","$455,200.00 "
Microsoft OneNote,4.4,Google,0,Productivity,10.8,"$294,000.00 ","$68,800.00 ","$225,200.00 ","$455,200.00 "
Microsoft OneNote,4.5,Apple,0,Productivity,10,"$300,000.00 ","$70,000.00 ","$230,000.00 ","$455,200.00 "
MORTAL KOMBAT X,4.4,Google,0,Games,10.8,"$294,000.00 ","$68,800.00 ","$225,200.00 ","$455,200.00 "
MORTAL KOMBAT X,4.5,Apple,0,Games,10,"$300,000.00 ","$70,000.00 ","$230,000.00 ","$455,200.00 "
Need for Speed™ No Limits,4.4,Google,0,Games,10.8,"$294,000.00 ","$68,800.00 ","$225,200.00 ","$455,200.00 "
Need for Speed™ No Limits,4.5,Apple,0,Games,10,"$300,000.00 ","$70,000.00 ","$230,000.00 ","$455,200.00 "
PES CLUB MANAGER,4.4,Google,0,Sports,10.8,"$294,000.00 ","$68,800.00 ","$225,200.00 ","$455,200.00 "
PES CLUB MANAGER,4.5,Apple,0,Games,10,"$300,000.00 ","$70,000.00 ","$230,000.00 ","$455,200.00 "
Photo Editor by Aviary,4.4,Google,0,Photography,10.8,"$294,000.00 ","$68,800.00 ","$225,200.00 ","$455,200.00 "
Photo Editor by Aviary,4.5,Apple,0,Photo & Video,10,"$300,000.00 ","$70,000.00 ","$230,000.00 ","$455,200.00 "
Plants vs. Zombies™ 2,4.4,Google,0,Family,10.8,"$294,000.00 ","$68,800.00 ","$225,200.00 ","$455,200.00 "
Plants vs. Zombies™ 2,4.5,Apple,0,Games,10,"$300,000.00 ","$70,000.00 ","$230,000.00 ","$455,200.00 "
Plants vs. Zombies™ Heroes,4.4,Google,0,Family,10.8,"$294,000.00 ","$68,800.00 ","$225,200.00 ","$455,200.00 "
Plants vs. Zombies™ Heroes,4.5,Apple,0,Games,10,"$300,000.00 ","$70,000.00 ","$230,000.00 ","$455,200.00 "
Red Ball 4,4.4,Google,0,Games,10.8,"$294,000.00 ","$68,800.00 ","$225,200.00 ","$455,200.00 "
Red Ball 4,4.5,Apple,0.99,Games,10,"$300,000.00 ","$70,000.00 ","$230,000.00 ","$455,200.00 "
Swamp Attack,4.4,Google,0,Games,10.8,"$294,000.00 ","$68,800.00 ","$225,200.00 ","$455,200.00 "
Swamp Attack,4.5,Apple,0,Games,10,"$300,000.00 ","$70,000.00 ","$230,000.00 ","$455,200.00 "
Talking Tom Bubble Shooter,4.4,Google,0,Family,10.8,"$294,000.00 ","$68,800.00 ","$225,200.00 ","$455,200.00 "
